ItemID(PK),OrderID (PK),ProductID,Quantity
3567143528145730,33-29-25-8A-37-34,68084229,5
5388919967437380,D1-96-6A-FC-95-A0,16590058,7
3556793656314300,3D-0E-DB-64-18-E0,10424152,8
5576423984648420,93-27-E8-BC-88-1B,66993663,29
374283303511505,E6-AB-5F-58-B4-FF,51991836,3
341578409382010,20-30-C7-59-5F-48,43419802,31
3557603631585950,68-A3-AE-46-97-D0,504367067,10
201755677683043,27-72-66-27-BA-91,17714016,29
374622988213327,93-E7-83-40-14-CB,369872864,25
5602215714373920,AA-41-A4-1C-A4-EE,3783023,6
5556057146534190,36-AB-0F-6D-80-5C,41520388,7
560224545746457000,37-3B-E3-78-67-21,37205291,21
3548142404745220,17-46-3C-72-27-1B,63824499,37
3543453574693680,C3-10-1D-90-EB-84,504365504,45
6381709726042950,57-51-1B-2B-96-B4,687889992,7
5100172831391100,E2-25-CC-C3-23-26,21695203,18
36719542560522,81-FB-BD-92-62-15,606810104,9
6395229819515880,D2-0F-DB-56-84-15,53329948,29
5602214017380160,74-EF-D7-44-B4-D6,63824499,31
4903874356887450000,1A-34-9B-14-F1-45,504365504,7
3541871922577120,6F-30-E4-67-FF-9C,687889992,33
633354196261480000,7A-84-38-1B-A2-A7,21695203,14
3545357485295200,A6-EE-8D-41-81-8D,606810104,29
3566614303235900,2D-0A-4C-5D-CC-D4,53329948,8
3566197872033510,E6-BC-D9-E2-5D-15,504367067,44
3588239851845090,05-8B-84-26-21-D7,17714016,7
3572472417046310,EA-96-80-B0-FE-6F,369872864,34
3577043731050100,C5-58-F8-87-5B-99,3783023,20
5602257869473420,E3-85-4A-85-A5-9D,41520388,37
3545271841976600,DA-7E-FB-D5-3A-E8,37205291,28
3558496177274200,54-D2-FE-09-84-28,63824499,44
67595261628182200,42-76-99-61-5F-C8,504365504,12
6706362569812120000,18-88-06-E5-B3-E0,687889992,30
3550252451468110,42-F9-EF-72-B7-3D,21695203,24
201766978091281,10-B3-28-0C-EF-FE,606810104,35
675934805253533000,06-C3-E5-89-EC-AC,53329948,44
3568471442818660,41-FD-CE-61-E6-22,63824499,18
30201033601970,34-D1-FC-69-7A-0C,504365504,13
5185297244634090,04-F6-C7-E7-39-20,687889992,5
3528394390187040,9B-8B-EA-D7-10-C4,504365504,4
4405062164218010,03-30-B2-53-A1-3C,687889992,35
5002358210105820,29-5E-97-9D-34-24,21695203,40
3560485870553330,05-21-89-4D-73-7F,67046531,35
3570002485208370,00-A9-FD-1A-8F-DE,68084229,2
5602227326856900,B2-39-EE-70-5D-94,16590058,1
5602254977033520,55-5D-F4-CD-D5-A6,10424152,21
670921500189351000,BA-F3-42-D2-A2-EC,66993663,14
3576207078649920,B1-33-02-B0-C9-53,51991836,9
560222531027309000,B1-EB-12-83-03-B1,43419802,37
3530816624619170,05-BE-BC-89-6F-0C,504367067,43
3571990326879970,A4-08-1E-90-84-C1,17714016,32
3545711303839160,F2-39-45-C1-54-93,369872864,44
30138236280139,86-22-05-0F-C5-A7,3783023,16
3532449521778120,30-B2-33-5C-63-68,41520388,13
3580499386298740,62-02-73-44-DA-2B,37205291,31
201563510391265,B2-9D-70-7F-06-39,63824499,13
3579185689383380,51-3D-82-52-67-92,504365504,14
3529719415986470,6C-C4-38-5D-31-9A,687889992,23
493678366414230000,E8-9E-1E-9C-F5-56,21695203,22
4508007378953080,A6-AC-D9-41-5B-A4,606810104,13
3563431442227110,C7-A8-95-EA-26-19,53329948,44
4041377096181850,7E-49-C5-C1-3A-45,63824499,11
30530957765076,87-17-59-1C-1A-91,504365504,45
3574835130294690,CE-C5-CF-50-29-E1,687889992,19
60428169033657200,A6-C0-5D-8A-45-1F,21695203,16
3589849051365510,C0-1E-21-42-75-C9,606810104,4
5100173850378360,84-7F-BC-34-2F-1E,53329948,6
201670810855897,05-06-FC-4A-F1-92,504367067,8
3572417691663120,77-C5-27-EE-0B-69,17714016,8
3548054809359990,55-C4-30-2D-97-17,369872864,20
374622509037981,F3-5D-31-54-00-02,3783023,3
30171321824347,0B-1C-69-1E-91-82,41520388,7
6334508563665380000,2E-32-C5-B5-8F-F6,37205291,40
6370752495059070,62-43-D2-43-B9-A1,63824499,10
3568298370479550,65-2A-69-C8-37-B9,504365504,43
3587021713026670,B0-F2-C1-72-0C-69,687889992,19
3586039843398470,8F-39-44-34-84-39,21695203,25
3582554588615890,DD-7B-66-4E-28-51,606810104,10
3557415420126900,2D-73-7E-78-3F-2B,53329948,11
5002359502362270,75-27-26-63-1E-CB,63824499,26
3557013100899880,A7-A4-53-81-B4-2A,504365504,30
560222456412209000,50-41-A8-ED-1F-29,687889992,19
5018406230536200,05-E7-DD-9E-99-D6,67046531,36
60414594522836600,32-E6-09-12-DF-46,68084229,31
3564525983712500,C5-91-E4-00-93-AA,16590058,37
3550219981389180,EB-1E-96-5E-90-4D,10424152,27
3560869178683080,6E-0C-39-5F-0B-F3,66993663,24
58939520908611000,A2-E3-29-0B-50-80,51991836,32
3561258312701120,1D-8C-15-27-88-34,43419802,13
337941940321226,F6-EB-FD-04-78-53,504367067,41
3555264826997160,FD-3A-40-57-C8-70,17714016,23
5602253926537270,66-84-D3-E0-D0-82,369872864,21
5602252140448200,40-E5-43-2D-B0-71,3783023,6
3538586153032640,9A-3F-9C-50-20-59,41520388,33
3535204618448670,7A-72-45-BE-69-7A,37205291,34
5002353484270540,1B-71-BF-8A-8F-48,63824499,19
5108750428590510,BB-E8-9B-C0-B0-67,504365504,45
5100144360227090,65-C7-C0-B1-9C-07,687889992,33
3567314464166310,80-11-F9-3E-6E-38,21695203,32
3545976402870280,13-25-19-C2-BE-3D,606810104,34
5420524453421770,F9-15-28-B0-60-8A,53329948,18
3586071804962670,8D-A0-4C-15-E5-93,63824499,35
374622097123847,C0-30-77-0B-C7-D4,504365504,25
36846866365426,D2-D2-E4-F5-48-35,687889992,40
3562950262793690,D6-AE-A4-EC-F5-40,21695203,26
3583381976212190,06-A0-3C-95-1F-D4,606810104,7
5610276961454710,B1-6E-3F-A9-A0-B3,53329948,8
5602211315156840000,A4-10-C3-AC-D6-58,504367067,43
