OrderID (PK),OrderDate,CustomerID (fk),StaffID(fk)
33-29-25-8A-37-34,2020-03-22,577,101
D1-96-6A-FC-95-A0,2020-04-16,321,101
3D-0E-DB-64-18-E0,2020-03-02,847,101
93-27-E8-BC-88-1B,2020-09-18,677,103
E6-AB-5F-58-B4-FF,2020-03-14,423,101
20-30-C7-59-5F-48,2020-02-04,301,103
68-A3-AE-46-97-D0,2020-05-30,343,102
27-72-66-27-BA-91,2020-09-27,223,101
93-E7-83-40-14-CB,2020-02-14,955,103
AA-41-A4-1C-A4-EE,2020-10-22,651,103
36-AB-0F-6D-80-5C,2020-02-13,995,102
37-3B-E3-78-67-21,2020-03-14,166,101
17-46-3C-72-27-1B,2020-06-16,897,102
C3-10-1D-90-EB-84,2020-08-13,384,101
57-51-1B-2B-96-B4,2020-01-31,729,101
E2-25-CC-C3-23-26,2020-03-19,225,102
81-FB-BD-92-62-15,2020-04-30,666,103
D2-0F-DB-56-84-15,2020-04-02,214,103
74-EF-D7-44-B4-D6,2020-09-21,669,103
1A-34-9B-14-F1-45,2020-11-06,341,103
6F-30-E4-67-FF-9C,2020-12-22,421,103
7A-84-38-1B-A2-A7,2020-04-30,589,103
A6-EE-8D-41-81-8D,2020-03-13,61,102
2D-0A-4C-5D-CC-D4,2020-11-09,124,102
E6-BC-D9-E2-5D-15,2020-08-16,760,103
05-8B-84-26-21-D7,2020-10-28,548,103
EA-96-80-B0-FE-6F,2020-11-08,155,101
C5-58-F8-87-5B-99,2020-03-30,336,103
E3-85-4A-85-A5-9D,2020-02-26,644,101
DA-7E-FB-D5-3A-E8,2020-09-02,222,103
54-D2-FE-09-84-28,2020-04-11,970,101
42-76-99-61-5F-C8,2020-11-04,739,102
18-88-06-E5-B3-E0,2020-10-02,376,103
42-F9-EF-72-B7-3D,2020-07-31,843,102
10-B3-28-0C-EF-FE,2020-04-11,103,101
06-C3-E5-89-EC-AC,2020-04-06,571,103
41-FD-CE-61-E6-22,2020-11-04,344,103
34-D1-FC-69-7A-0C,2020-02-19,652,102
04-F6-C7-E7-39-20,2020-01-28,785,101
9B-8B-EA-D7-10-C4,2020-10-30,915,102
03-30-B2-53-A1-3C,2020-01-16,780,101
29-5E-97-9D-34-24,2020-10-05,261,102
05-21-89-4D-73-7F,2020-02-19,765,102
00-A9-FD-1A-8F-DE,2020-10-01,296,102
B2-39-EE-70-5D-94,2020-10-30,738,101
55-5D-F4-CD-D5-A6,2020-04-04,188,103
BA-F3-42-D2-A2-EC,2020-08-16,507,103
B1-33-02-B0-C9-53,2020-06-06,23,102
B1-EB-12-83-03-B1,2020-10-26,809,101
05-BE-BC-89-6F-0C,2020-11-09,763,103
A4-08-1E-90-84-C1,2020-03-22,619,101
F2-39-45-C1-54-93,2020-01-17,216,102
86-22-05-0F-C5-A7,2020-12-09,345,101
30-B2-33-5C-63-68,2020-11-22,147,103
62-02-73-44-DA-2B,2020-10-18,74,102
B2-9D-70-7F-06-39,2020-02-11,991,103
51-3D-82-52-67-92,2020-10-21,304,102
6C-C4-38-5D-31-9A,2020-01-12,381,103
E8-9E-1E-9C-F5-56,2020-09-28,439,102
A6-AC-D9-41-5B-A4,2020-11-09,41,101
C7-A8-95-EA-26-19,2020-09-23,811,103
7E-49-C5-C1-3A-45,2020-01-07,176,102
87-17-59-1C-1A-91,2020-07-22,197,102
CE-C5-CF-50-29-E1,2020-08-27,23,102
A6-C0-5D-8A-45-1F,2020-11-12,886,102
C0-1E-21-42-75-C9,2020-04-23,682,101
84-7F-BC-34-2F-1E,2020-11-10,996,101
05-06-FC-4A-F1-92,2020-11-18,95,101
77-C5-27-EE-0B-69,2020-09-06,756,102
55-C4-30-2D-97-17,2020-06-17,724,102
F3-5D-31-54-00-02,2020-08-15,636,103
0B-1C-69-1E-91-82,2020-10-12,572,102
2E-32-C5-B5-8F-F6,2020-06-30,273,102
62-43-D2-43-B9-A1,2020-01-14,140,102
65-2A-69-C8-37-B9,2020-07-23,671,102
B0-F2-C1-72-0C-69,2020-02-27,457,103
8F-39-44-34-84-39,2020-10-19,627,102
DD-7B-66-4E-28-51,2020-07-26,665,102
2D-73-7E-78-3F-2B,2020-02-03,849,102
75-27-26-63-1E-CB,2020-10-22,176,101
A7-A4-53-81-B4-2A,2020-03-25,837,101
50-41-A8-ED-1F-29,2020-05-09,678,103
05-E7-DD-9E-99-D6,2020-04-20,939,102
32-E6-09-12-DF-46,2020-06-15,689,103
C5-91-E4-00-93-AA,2020-04-12,819,102
EB-1E-96-5E-90-4D,2020-07-13,389,103
6E-0C-39-5F-0B-F3,2020-04-16,269,101
A2-E3-29-0B-50-80,2020-12-04,57,103
1D-8C-15-27-88-34,2020-12-07,863,103
F6-EB-FD-04-78-53,2020-09-03,459,102
FD-3A-40-57-C8-70,2020-02-26,335,103
66-84-D3-E0-D0-82,2020-04-18,410,101
40-E5-43-2D-B0-71,2020-08-12,396,102
9A-3F-9C-50-20-59,2020-04-24,194,101
7A-72-45-BE-69-7A,2020-08-03,97,103
1B-71-BF-8A-8F-48,2020-12-08,970,101
BB-E8-9B-C0-B0-67,2020-03-11,808,101
65-C7-C0-B1-9C-07,2020-10-02,90,103
80-11-F9-3E-6E-38,2020-09-03,319,103
13-25-19-C2-BE-3D,2020-10-03,924,102
F9-15-28-B0-60-8A,2020-11-14,788,102
8D-A0-4C-15-E5-93,2020-03-07,301,101
C0-30-77-0B-C7-D4,2020-07-06,473,101
D2-D2-E4-F5-48-35,2020-02-11,247,101
D6-AE-A4-EC-F5-40,2020-08-10,334,102
06-A0-3C-95-1F-D4,2020-07-07,266,103
B1-6E-3F-A9-A0-B3,2020-11-04,964,101
A4-10-C3-AC-D6-58,2020-09-28,860,101
59-7F-61-57-1D-83,2020-01-13,914,103
CA-9B-1C-20-47-99,2020-08-18,209,102
42-6F-39-10-7B-81,2020-10-31,674,101
88-A0-ED-C9-CC-D5,2020-02-23,731,103
CF-37-7B-61-BD-9C,2020-02-12,124,102
95-BF-1E-6E-56-D2,2020-04-06,254,101
ED-7B-D3-3F-C8-DB,2020-01-14,691,103
7A-D6-13-9A-83-AC,2020-02-08,258,102
BE-72-1C-0F-37-52,2020-12-23,370,101
59-81-E6-DC-3F-85,2020-07-26,23,102
45-4C-2F-7A-61-7E,2020-01-20,245,101
35-F5-7C-FD-2B-E4,2020-08-19,345,103
CC-ED-5D-58-AE-A1,2020-10-26,777,101
58-3B-CD-22-33-3C,2020-02-26,890,102
E5-DC-A0-AE-18-11,2020-11-28,469,103
0C-33-0B-24-F6-EC,2020-05-20,91,103
6B-68-97-F2-F8-3B,2020-11-15,650,101
1A-30-02-A5-91-27,2020-12-21,990,102
A5-14-A1-EC-73-33,2020-05-31,210,101
46-B0-E9-3E-20-2D,2020-04-23,849,101
57-A4-AB-24-33-1B,2020-03-02,716,101
28-8E-14-85-BC-F0,2020-03-13,185,101
E0-9B-39-33-59-A2,2020-12-23,660,101
0D-7A-DD-26-A9-D3,2020-08-18,570,101
96-EE-55-22-8E-35,2020-09-22,37,103
2C-43-68-B2-1F-6D,2020-09-07,832,102
AE-74-C4-6B-25-92,2020-02-10,660,102
AF-74-E9-1C-E3-B7,2020-07-30,109,102
98-59-CD-14-24-7D,2020-10-27,91,103
AB-68-4F-74-02-95,2020-11-24,426,101
84-EE-B4-24-17-DB,2020-03-04,100,103
0B-27-A9-4E-0E-F2,2020-04-16,140,101
8B-04-5A-D3-DF-0F,2020-03-22,631,102
C9-C3-D7-57-AB-93,2020-05-02,842,102
21-E4-06-0A-AC-FD,2020-10-23,819,102
DB-B1-1D-49-FD-A6,2020-01-28,400,103
EB-E9-33-A3-0E-63,2020-10-24,615,102
FF-7B-D2-FC-58-A6,2020-02-21,115,102
F8-1B-03-34-2D-AB,2020-02-16,94,101
83-BE-6D-6A-86-D8,2020-03-31,463,103
E6-80-7D-10-9A-33,2020-03-16,355,102
